Timestamp,SubjectID,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,ActivityLabel,IsFallEvent
2026-08-20T10:00:00Z,Elderly_Fall_IoT-SUBJ-01,-0.3387,9.4107,0.913,0.0102,0.1046,0.044,routine_movement,0
2026-08-20T10:00:01Z,Elderly_Fall_IoT-SUBJ-01,-0.1167,9.3028,0.6913,0.113,0.03,-0.0638,routine_movement,0
2026-08-20T10:00:02Z,Elderly_Fall_IoT-SUBJ-01,0.8958,10.2086,0.3806,-0.0085,0.0711,0.0289,routine_movement,0
2026-08-20T10:00:03Z,Elderly_Fall_IoT-SUBJ-01,0.3425,9.8202,0.4716,0.0473,0.0411,-0.0998,routine_movement,0
2026-08-20T10:00:04Z,Elderly_Fall_IoT-SUBJ-01,0.1592,9.9347,0.2903,0.0454,0.0959,0.0783,routine_movement,0
2026-08-20T10:00:05Z,Elderly_Fall_IoT-SUBJ-01,0.27,8.8478,0.952,0.0018,0.0513,0.0058,routine_movement,0
2026-08-20T10:00:06Z,Elderly_Fall_IoT-SUBJ-01,0.4805,8.9128,1.4535,0.0069,0.0822,-0.0395,routine_movement,0
2026-08-20T10:00:07Z,Elderly_Fall_IoT-SUBJ-01,0.2773,10.3408,0.0652,0.0578,0.054,-0.0065,routine_movement,0
2026-08-20T10:00:08Z,Elderly_Fall_IoT-SUBJ-01,0.1781,9.3147,0.1188,0.0169,0.1206,-0.0024,routine_movement,0
2026-08-20T10:00:09Z,Elderly_Fall_IoT-SUBJ-01,0.4892,10.0959,-0.1852,0.0026,-0.0221,-0.0323,routine_movement,0
2026-08-20T10:00:10Z,Elderly_Fall_IoT-SUBJ-01,-0.0228,9.8234,-0.078,-0.0285,0.0465,0.0166,routine_movement,0
2026-08-20T10:00:11Z,Elderly_Fall_IoT-SUBJ-01,0.0045,10.1712,0.5927,-0.0586,0.0804,-0.0308,routine_movement,0
2026-08-20T10:00:12Z,Elderly_Fall_IoT-SUBJ-01,0.1573,10.0766,1.2899,0.0863,0.1303,-0.0633,routine_movement,0
2026-08-20T10:00:13Z,Elderly_Fall_IoT-SUBJ-01,-0.4342,10.7477,0.8338,-0.0072,0.0592,-0.0152,routine_movement,0
2026-08-20T10:00:14Z,Elderly_Fall_IoT-SUBJ-01,0.2316,10.3445,0.9271,0.0274,0.0891,0.0159,routine_movement,0
2026-08-20T10:00:15Z,Elderly_Fall_IoT-SUBJ-01,-0.1007,9.7085,0.0661,-0.0111,0.0394,-0.0864,routine_movement,0
2026-08-20T10:00:16Z,Elderly_Fall_IoT-SUBJ-01,0.3377,9.6204,-0.308,0.0231,0.1323,-0.0438,routine_movement,0
2026-08-20T10:00:17Z,Elderly_Fall_IoT-SUBJ-01,-0.0269,10.104,0.2873,-0.0031,0.0543,-0.0068,routine_movement,0
2026-08-20T10:00:18Z,Elderly_Fall_IoT-SUBJ-01,-0.1565,9.7546,0.3734,-0.0711,-0.0395,0.0208,routine_movement,0
2026-08-20T10:00:19Z,Elderly_Fall_IoT-SUBJ-01,0.2293,9.2351,1.2477,0.0646,0.0509,-0.0084,routine_movement,0
2026-08-20T10:00:00Z,Elderly_Fall_IoT-SUBJ-01,3.3265,12.4833,2.8509,1.6031,2.3822,2.7406,sudden_fall,1
2026-08-20T10:00:01Z,Elderly_Fall_IoT-SUBJ-01,3.7864,18.3108,9.8414,1.4836,1.4444,1.7357,sudden_fall,1
2026-08-20T10:00:02Z,Elderly_Fall_IoT-SUBJ-01,2.1783,17.2942,5.922,3.1705,3.3627,4.8743,sudden_fall,1
2026-08-20T10:00:03Z,Elderly_Fall_IoT-SUBJ-01,8.1179,13.2789,4.7162,3.967,4.655,1.1084,sudden_fall,1
2026-08-20T10:00:04Z,Elderly_Fall_IoT-SUBJ-01,2.876,13.9618,3.11,2.9608,1.6903,0.8706,sudden_fall,1
2026-08-20T10:00:05Z,Elderly_Fall_IoT-SUBJ-01,4.0092,15.2572,4.1491,3.2503,5.184,2.6173,sudden_fall,1
2026-08-20T10:00:06Z,Elderly_Fall_IoT-SUBJ-01,-0.7081,20.3356,3.5353,3.6242,3.0139,2.7795,sudden_fall,1
2026-08-20T10:00:07Z,Elderly_Fall_IoT-SUBJ-01,4.8468,18.5244,5.4158,3.2425,3.4806,2.2331,sudden_fall,1
2026-08-20T10:00:08Z,Elderly_Fall_IoT-SUBJ-01,1.8087,13.3469,4.5074,0.9957,4.2224,1.5581,sudden_fall,1
2026-08-20T10:00:09Z,Elderly_Fall_IoT-SUBJ-01,2.1412,13.9474,3.496,1.7446,3.09,3.5039,sudden_fall,1
2026-08-20T10:00:10Z,Elderly_Fall_IoT-SUBJ-01,-1.4095,18.5868,9.7747,1.8036,1.1102,3.4286,sudden_fall,1
2026-08-20T10:00:11Z,Elderly_Fall_IoT-SUBJ-01,0.0074,14.7279,7.2169,3.4028,3.3638,0.9067,sudden_fall,1
2026-08-20T10:00:12Z,Elderly_Fall_IoT-SUBJ-01,2.7606,18.7793,7.9901,2.8123,3.5015,2.6909,sudden_fall,1
2026-08-20T10:00:13Z,Elderly_Fall_IoT-SUBJ-01,1.2413,24.8569,8.9278,-0.2421,4.2844,1.7353,sudden_fall,1
