Timestamp,SubjectID,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,ActivityLabel,IsFallEvent
2026-08-20T10:00:00Z,Walker_Fall-SUBJ-01,0.3686,9.9193,0.7464,-0.1609,0.0304,0.0571,walking,0
2026-08-20T10:00:01Z,Walker_Fall-SUBJ-01,0.6114,10.2677,0.1942,0.0704,0.0546,0.0427,walking,0
2026-08-20T10:00:02Z,Walker_Fall-SUBJ-01,0.5697,9.5297,1.291,-0.0211,0.0518,0.0526,walking,0
2026-08-20T10:00:03Z,Walker_Fall-SUBJ-01,-0.1456,9.7615,-0.2064,-0.0029,0.0874,-0.0314,walking,0
2026-08-20T10:00:04Z,Walker_Fall-SUBJ-01,0.2574,9.8182,0.8595,0.0069,-0.0179,-0.0689,walking,0
2026-08-20T10:00:05Z,Walker_Fall-SUBJ-01,0.0435,9.176,-1.1124,0.0486,-0.0142,0.0382,walking,0
2026-08-20T10:00:06Z,Walker_Fall-SUBJ-01,0.0658,9.9451,0.8045,0.1521,0.1225,-0.0089,walking,0
2026-08-20T10:00:07Z,Walker_Fall-SUBJ-01,-0.3084,9.7554,0.0766,0.0308,0.0856,-0.0507,walking,0
2026-08-20T10:00:08Z,Walker_Fall-SUBJ-01,-0.0157,10.1838,0.3708,0.0612,-0.0015,-0.1149,walking,0
2026-08-20T10:00:09Z,Walker_Fall-SUBJ-01,0.1906,10.1816,0.3856,0.0549,0.0375,0.05,walking,0
2026-08-20T10:00:10Z,Walker_Fall-SUBJ-01,0.3693,9.8738,0.486,0.0587,-0.0025,0.0193,walking,0
2026-08-20T10:00:11Z,Walker_Fall-SUBJ-01,0.5108,9.9216,0.4726,-0.0093,0.0227,0.0158,walking,0
2026-08-20T10:00:12Z,Walker_Fall-SUBJ-01,1.0621,9.6036,1.1399,0.004,0.0791,-0.0246,walking,0
2026-08-20T10:00:13Z,Walker_Fall-SUBJ-01,0.5041,10.0081,0.6006,0.0136,0.0627,0.0544,walking,0
2026-08-20T10:00:14Z,Walker_Fall-SUBJ-01,0.2805,9.1831,0.2221,-0.0382,0.0613,-0.0135,walking,0
2026-08-20T10:00:15Z,Walker_Fall-SUBJ-01,0.2783,9.7853,0.598,0.0419,0.1345,-0.0377,walking,0
2026-08-20T10:00:16Z,Walker_Fall-SUBJ-01,0.4902,9.3946,-0.018,0.0379,0.0539,-0.1063,walking,0
2026-08-20T10:00:17Z,Walker_Fall-SUBJ-01,0.4,9.9288,0.546,0.0363,0.125,-0.0426,walking,0
2026-08-20T10:00:18Z,Walker_Fall-SUBJ-01,0.2167,9.8514,0.3698,0.0676,0.078,-0.0147,walking,0
2026-08-20T10:00:19Z,Walker_Fall-SUBJ-01,-0.0067,9.3979,0.1429,0.0278,-0.0738,-0.0219,walking,0
2026-08-20T10:00:00Z,Walker_Fall-SUBJ-01,3.3593,14.9547,5.5639,3.3554,2.5909,2.0849,stumble,1
2026-08-20T10:00:01Z,Walker_Fall-SUBJ-01,3.2347,17.0129,8.4139,1.9477,2.2607,1.4705,stumble,1
2026-08-20T10:00:02Z,Walker_Fall-SUBJ-01,5.6631,13.9515,7.6036,1.8163,5.0287,2.3829,stumble,1
2026-08-20T10:00:03Z,Walker_Fall-SUBJ-01,4.3542,18.0165,5.0584,2.3743,2.5162,1.1799,stumble,1
2026-08-20T10:00:04Z,Walker_Fall-SUBJ-01,3.5165,9.3589,5.5219,1.9725,4.0896,1.4331,stumble,1
